28,1,9
44,1,8
44,41,3
58,1,16
79,1,5
79,45,6
98,1,12
122,19,8
122,52,3
144,1,14
163,17,11
163,37,7
178,31,7
199,1,19
199,72,6
225,31,14
247,55,12
247,72,6
269,78,9
296,45,11
296,120,6
309,35,8
327,18,11
327,73,5
341,27,11
366,1,5
366,70,7
395,29,10
405,34,13
405,58,8
434,64,16
451,38,12
451,107,9
465,52,12
482,32,13
482,107,8
497,46,12
509,57,15
509,72,6
530,28,18
558,6,12
558,76,3
581,23,12
593,9,7
593,53,9
603,19,7
630,41,10
630,73,8
658,70,11
669,51,11
669,111,6
685,68,14
706,41,16
706,116,4
727,64,8
740,78,11
740,105,5
760,51,16
770,43,13
770,94,5
789,59,11
799,71,9
799,102,4
820,90,18
849,56,13
849,148,9
860,64,15
877,81,12
877,105,7
895,98,13
919,68,10
919,155,6
946,95,16
970,120,9
970,138,8
992,138,18
1017,110,10
1017,195,7
1037,126,17
1052,109,9
1052,172,7
1073,128,8
1086,137,12
1086,159,7
1101,157,13
1119,131,18
1119,200,3
1133,146,15
1158,176,8
1158,195,5
1184,141,12
1206,164,12
1206,186,3
1226,183,19
1243,163,9
1243,232,4
1258,143,15
1268,155,16
1268,180,4
1280,36,115
